"filename", "language", "JSON", "TypeScript", "Markdown", "JavaScript", "YAML", "JSON with Comments", "Properties", "Shell Script", "Python", "Docker", "pip requirements", "HTML", "comment", "blank", "total"
"/home/dungnv/work-space/nal/ccb-cdk-codebase/.env", "Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/dungnv/work-space/nal/ccb-cdk-codebase/.eslintrc.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/home/dungnv/work-space/nal/ccb-cdk-codebase/.github/workflows/HowToUse-InfraResources.md", "Markdown", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 75
"/home/dungnv/work-space/nal/ccb-cdk-codebase/.github/workflows/HowToUse-maintenance.md", "Markdown", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 49
"/home/dungnv/work-space/nal/ccb-cdk-codebase/.github/workflows/InfraResources_ExecutePipeline.yml", "YAML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/home/dungnv/work-space/nal/ccb-cdk-codebase/.github/workflows/InfraResources_RunTest.yml", "YAML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 6, 30
"/home/dungnv/work-space/nal/ccb-cdk-codebase/.github/workflows/README.md", "Markdown", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 81
"/home/dungnv/work-space/nal/ccb-cdk-codebase/.github/workflows/maintenance-off.yml", "YAML", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 5, 12, 68
"/home/dungnv/work-space/nal/ccb-cdk-codebase/.github/workflows/maintenance-on.yml", "YAML", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 5, 12, 68
"/home/dungnv/work-space/nal/ccb-cdk-codebase/.github/workflows/workflows_template.yml", "YAML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 21, 10, 50
"/home/dungnv/work-space/nal/ccb-cdk-codebase/.prettierrc.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/dungnv/work-space/nal/ccb-cdk-codebase/.versionrc.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/home/dungnv/work-space/nal/ccb-cdk-codebase/README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/home/dungnv/work-space/nal/ccb-cdk-codebase/bin/blea-guest-ecsapp-sample.ts", "TypeScript", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 32, 254
"/home/dungnv/work-space/nal/ccb-cdk-codebase/buildspec.yaml", "YAML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 2, 22
"/home/dungnv/work-space/nal/ccb-cdk-codebase/cdk.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/README.md", "Markdown", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 68
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/bastion/docker/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 5, 15
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/bastion/docker/check_login.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 3, 19
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/bastion/run_task.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 7, 12, 73
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/app.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_bg/appspec.yaml", "YAML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_bg/build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 14, 14, 115
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_bg/dev.conf", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_bg/prd.conf", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_bg/stg.conf", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_bg/taskdef_template.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_ecspresso/autoscale_sample.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_ecspresso/build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 14, 14, 102
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_ecspresso/dev.conf", "Properties", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 1, 9
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_ecspresso/ecs-service-def.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_ecspresso/ecs-task-def.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_ecspresso/ecspresso.yml", "YAML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_ecspresso/imagedefinitions.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_ecspresso/prd.conf", "Properties", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 1, 9
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/build_ecspresso/stg.conf", "Properties", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 1, 9
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-backend/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-ecs-app/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-ecs-app/buildspec.yml", "YAML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 4, 11
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_bg/appspec.yaml", "YAML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_bg/build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 14, 14, 115
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_bg/dev.conf", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
